"Kernel Name","void gpuKernel<double, (int)256, (unsigned int)1, (unsigned int)1, (bool)0>(double, double *, double *, double *)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_imc","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_imc (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0x7f170325c400","      IMAD.MOV.U32 R1, RZ, RZ, c[0x0][0x28] ","238","207","238","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","21","0","0","3","0","0","0","210","4","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","188","0","0","0","0","0","0"
"0x7f170325c410","      S2R R0, SR_LANEID ","181269","180554","181269","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","180991","0","0","97","46","0","0","0","134","0","0","0","0","0","0","0","0","0","180420","0","0","0","0","0","0","0","134"
"0x7f170325c420","      IADD3 R1, R1, -0x1800, RZ ","71","9","71","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","3","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0"
"0x7f170325c430","      IMAD.MOV.U32 R5, RZ, RZ, RZ ","52","8","52","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","8","0","1","42","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","0"
"0x7f170325c440","      ULDC.64 UR4, c[0x0][0x118] ","94","44","94","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","46","0","0","0","0","0","7","0","1","39","0","0","0","0","0","0","0","0","39","0","0","0","0","0","5","0","0","0","0","0","0","0"
"0x7f170325c450","      IMAD.MOV.U32 R3, RZ, RZ, RZ ","70","8","70","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","0","60","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","0","0","0","0","0","0","0"
"0x7f170325c460","      IADD3 R15, P0, R1, c[0x0][0x20], RZ ","54","8","54","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","9","0","3","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0"
"0x7f170325c470","      IMAD.X R17, RZ, RZ, c[0x0][0x24], P0 ","232","118","232","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","33","34","0","0","0","140","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","117"
"0x7f170325c480","      LOP3.LUT R4, R0, 0x3, RZ, 0xc0, !PT ","656186","653323","656186","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","7","0","0","0","0","16","0","0","0","0","10","45","656108","0","0","0","0","0","2","0","0","0","0","14","0","0","0","0","0","0","653307","0","0","0"
"0x7f170325c490","      SHF.R.U32.HI R2, RZ, 0x2, R0 ","108","47","108","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","1","47","0","0","0","56","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","45"
"0x7f170325c4a0","      IMAD.WIDE.U32 R6, R2, 0x8, R4 ","275","162","275","8388608","268435456","268435456","32","32","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","5","48","0","0","0","208","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","161"
